run,zp
380395,21.46
380398,21.46
380404,21.46
380413,21.46
380407,21.46
380410,21.46
380416,21.46
380419,21.46
380422,21.46
380425,21.46
380464,21.5
380467,21.5
380460,21.5
380470,21.5
380473,21.5
380476,21.5
380479,21.5
380482,21.5
380488,21.5
380494,21.5
380497,21.5
380509,21.5
380500,21.5
380503,21.5
380506,21.5
380512,21.5
380515,21.5
380518,21.5
380527,21.5
380521,21.5
380524,21.5
380530,21.5
380533,21.5
380558,21.5
380561,21.5
380564,21.5
380555,21.5
380567,21.5
380570,21.5
380576,21.5
380582,21.5
380573,21.5
380579,21.5
380585,21.5
380588,21.5
380591,21.5
380594,21.5
380646,21.5
380649,21.5
380652,21.5
